publishedAt,view_count,comment_count,title,video_id
2025-04-17T10:20:48Z,84524,530,[MPD직캠] 엔시티 위시 유우시 직캠 4K &#39;poppop&#39; (NCT WISH YUSHI FanCam) | @MCOUNTDOWN_2025.4.17,53z5EBlmpkg
2025-04-17T10:20:44Z,24832,167,[MPD직캠] 엔시티 위시 사쿠야 직캠 4K &#39;poppop&#39; (NCT WISH SAKUYA FanCam) | @MCOUNTDOWN_2025.4.17,W57GKddCmvs
2025-04-17T10:20:39Z,19811,288,[MPD직캠] 엔시티 위시 료 직캠 4K &#39;poppop&#39; (NCT WISH RYO FanCam) | @MCOUNTDOWN_2025.4.17,eUymCmBJl_U
2025-04-17T10:20:51Z,20227,288,[MPD직캠] 엔시티 위시 재희 직캠 4K &#39;poppop&#39; (NCT WISH JAEHEE FanCam) | @MCOUNTDOWN_2025.4.17,BwsULwkFXp8
2025-04-17T10:00:19Z,489830,1178,NCT WISH 사쿠야 &quot;키링 졸업식에 초대합니다&quot; #순간뽀짝세상에이런아이돌이,EGyjrqEzR7k
2025-04-17T09:28:00Z,120801,424,"리쿠 vs 유우시, 애교할 때 더 귀여운 사람은? | NCT WISH 리쿠&amp;유우시 팅글썰롱",S_LLLwWCwik
2025-04-17T09:15:10Z,1963,0,[Mirrored] poppop | NCT WISH | #Dance Cover #shorts,j7iW7k2Uoyk
2025-04-17T09:01:05Z,464804,49,member suju ketemu wishie &quot;putraku&quot; 🤭🤣 #superjunior #suju #NCTWISH #엔시티위시 #ryo #sakuya #yesung,JMul77e3V0k
2025-04-17T09:01:28Z,51802,554,[4K] 성장하는 남자 왕쿠냥🐈‍⬛이니까 왕크게보는 💗왕크왕캠💗 NCT WISH 리쿠(RIKU)✨,x_45MF_Gcz4
2025-04-17T09:00:08Z,6306,1,NCT WISH (엔시티 위시) - poppop 🥤 피아노 건반 6개로 쉽게 연주하기 🎹 #피아노연주 #NCTWISH #poppop #NCTWISH_poppop #nct,4u6h5iqyL20
2025-04-17T09:00:06Z,1124,3,"NCT WISH Playlist | jellyforyourwish, poppop!, 엔시티 위시 노래모음 전곡",KY4z3vWW6Nw
2025-04-17T08:30:31Z,14778,26,"다했네, 다했어 | 엔시티 위시 NCT WISH - poppop 리액션",g-5C5dNwtZ8
2025-04-17T08:30:36Z,45757,5,"다했네, 다했어 | 엔시티 위시 NCT WISH - poppop 리액션",rSL1G0sw8ks
2025-04-17T08:25:32Z,83,0,Baby #Sakuya did Blink &#39;#poppop&#39; NCT Wish Blink Challenge,GTNfRlBfxxs
2025-04-17T06:57:39Z,23046,25,[TJ노래방] poppop - NCT WISH / TJ Karaoke,zgqZgYVaWDI
2025-04-17T06:00:25Z,154,0,[𝟏𝐡𝐨𝐮𝐫 𝐥𝐨𝐨𝐩] 미소년들이 일냈다! | NCT WISH - poppop l 1시간 반복재생 | Lyrics 가사 포함,b5Ae7B_SG6k
